,Sample0,Sample1,Sample2,Sample3,Sample4,Sample5,Sample6,Sample7,Sample8,Sample9,Sample10,Sample11,Sample12,Sample13,Sample14,Sample15,Sample16,Sample17,Sample18,Sample19,Sample20,Sample21,Sample22,Sample23,Sample24,Sample25,Sample26,Sample27,Sample28,Sample29,Sample30,Sample31,Sample32,Sample33,Sample34,Sample35,Sample36,Sample37,Sample38,Sample39,Sample40,Sample41,Sample42,Sample43,Sample44,Sample45,Sample46,Sample47,Sample48,Sample49,Sample50,Sample51,Sample52,Sample53,Sample54,Sample55,Sample56,Sample57,Sample58,Sample59,Sample60,Sample61,Sample62,Sample63,Sample64,Sample65,Sample66,Sample67,Sample68,Sample69,Sample70,Sample71,Sample72,Sample73,Sample74,Sample75,Sample76,Sample77,Sample78,Sample79,Sample80,Sample81,Sample82,Sample83,Sample84,Sample85,Sample86,Sample87,Sample88,Sample89,Sample90,Sample91,Sample92,Sample93,Sample94,Sample95,Sample96,Sample97,Sample98,Sample99,Sample100,Sample101,Sample102,Sample103,Sample104,Sample105,Sample106,Sample107,Sample108
Gene483,0.6348621,0.7956556,2.0024492,1.8366119,-0.850406,0.4820672,0.7344492,1.0104176,0.5752421,-0.263254,-1.279702,1.9273045,0.1875019,-1.254531,-0.342570,0.4805633,-0.845932,0.0670991,-1.817050,-1.331570,-2.124409,-0.375033,-0.050348,0.4068287,-0.271481,-0.169840,1.2858634,-0.984557,-2.892940,-1.386525,-0.695549,-0.144392,2.0292685,-0.600168,-0.269628,-1.828800,-1.088126,0.9684295,0.6385512,-0.695272,-0.709487,-0.668666,-1.215697,-1.223345,0.1314767,-0.427316,-0.059903,-0.447768,-0.490381,0.0542847,-0.270180,-0.864134,0.8913432,-2.771044,-0.327921,0.1129461,0.5736852,-0.210173,0.3386217,-0.702185,-0.481002,0.1727213,-0.550239,-0.254479,2.1943374,1.0809733,-0.505641,1.4800920,-1.814273,1.1920157,0.9560914,0.7735480,3.6268250,-0.478319,0.1720231,-0.233479,1.2289903,1.7371179,1.1263935,0.3082454,-0.048931,-0.234163,-0.039645,1.3306822,-0.889137,1.3268744,0.8827602,1.4920840,0.2456493,-0.419100,-0.493043,1.1277089,-0.402221,-1.342810,-0.362863,-0.262379,-0.060574,0.3507418,-0.909555,-1.351334,0.6225514,-0.000549,0.3652204,-0.744414,1.0831671,0.6853111,0.4356889,-0.532676,0.1977993
Gene484,0.3905410,0.3680806,0.0180770,0.0095249,-1.974057,-1.942487,1.3223294,1.1983318,1.1686474,0.6625815,1.0977001,-0.052765,1.3158514,-2.917577,1.6909577,0.8662789,-2.050559,-0.876032,-3.009762,-1.439534,-2.373397,-0.098654,-1.479303,0.9058379,-0.409539,-1.258994,1.4548659,-1.587064,-0.373219,-1.918347,-1.894799,-1.028373,-0.357076,-1.624673,0.7299287,-1.802953,-1.845321,0.3579830,0.7270838,-0.009235,0.6670310,0.1951557,-0.418853,-1.309190,0.7737960,0.9864828,-0.929426,0.0752986,1.1054381,-0.309183,1.0155180,-1.226370,0.2703790,-1.973517,0.3068279,1.5152304,0.3911080,1.3795260,0.7390733,-0.524720,-1.614625,-0.008682,0.4821093,1.3361397,0.0531970,0.5467848,-0.363349,1.2112302,-2.071038,1.3148485,0.6442917,-0.671124,-1.767772,0.5559320,2.0104689,-0.947229,2.1526421,0.4188376,0.7447364,-0.861308,1.5360632,0.7086909,0.8727953,0.7707492,-1.201839,0.8749055,1.2057096,0.7254155,-0.320356,-0.179453,-0.631208,1.0453172,1.5576410,0.0459698,0.7727909,1.8728422,-1.210178,0.1838851,0.4458406,-0.983741,0.4598139,1.4825618,1.9564144,0.0466267,0.4107141,0.9864435,-1.484067,0.6874477,-0.494354
Gene485,-1.551389,0.5827788,-0.353599,-1.570380,-1.016883,0.5783305,-0.270735,0.2915010,-0.449837,-2.024002,0.3448426,-1.401377,0.1101289,1.1793395,1.1774537,-0.309936,-0.303783,0.1759971,2.1634261,1.0801957,1.8705975,-2.783195,0.6913669,0.4351860,-1.320073,0.0982161,-0.818147,1.5042177,2.6682971,0.3302261,1.3133956,2.2454626,-0.027020,0.0618075,0.4363897,1.2543425,0.4131287,-1.512599,-0.817510,-0.542252,-0.034033,0.4914628,1.3930645,0.3685745,-1.803172,-0.802787,0.4546317,-0.205604,-0.425972,1.1065288,0.4215464,-0.366897,-0.601518,3.1365930,-0.049901,-1.503025,0.1440113,-0.019702,-0.636343,0.0526905,1.1563026,0.9182782,-1.195703,0.5941210,0.9557368,-2.401010,1.2665451,-0.020751,0.7075244,1.1126931,-1.212543,0.8590420,0.4345749,0.0656836,-2.071849,-0.299484,0.1570634,-0.900572,0.3959950,1.1370899,-1.090106,-0.280824,-1.853175,0.4623232,-0.735197,-1.950929,0.6614427,-1.611553,0.8822064,0.4215217,0.9788283,-0.205965,-0.278630,-1.558893,-1.092269,1.2035673,-0.772610,-0.524588,0.7032208,1.2767526,0.0267388,-0.235672,0.7502550,1.1991398,1.2022237,-0.738417,-1.490318,-1.966865,-0.094984
Gene486,1.1166173,-0.652050,0.2810550,-0.170795,0.8790462,1.7640089,-0.251465,-0.052991,-0.633082,1.9781733,-1.011972,-1.384322,-0.375612,-1.128930,-1.452162,-0.513189,-0.520776,-0.307884,-2.741220,-0.920942,-0.026251,1.5420507,-0.693277,-0.171798,-0.739851,-0.352397,0.9566527,-0.174061,-1.321752,0.0292049,0.8952276,-0.110189,0.6129179,-0.084043,-0.627301,1.5241212,-0.583162,1.8740823,0.5342743,0.6203369,0.9550395,-0.270120,-1.026077,-0.367265,0.1535909,-0.635896,-0.222606,-1.230033,-0.512198,-0.781662,0.7338008,-0.442755,-0.423849,1.2855109,-2.105202,0.4149782,0.4783497,1.0709490,-0.620383,1.7775537,0.8156323,0.5356340,-0.899726,0.7371708,-0.350274,1.8109290,-0.566156,1.1332554,-1.764170,-0.348604,-0.824597,0.4811886,3.6687162,0.4565928,-0.430202,0.3704652,-0.167323,-0.161253,0.5933130,-1.553369,1.1830618,0.8898426,0.9593172,-0.209392,0.1608488,-0.951179,0.7561715,-0.007567,0.7747988,-0.365557,-0.172497,-0.148293,1.4132741,0.0026084,0.2887751,0.8591776,-1.667938,-0.618148,-0.492800,-1.647291,0.3552781,0.8025024,-0.317901,0.1998300,-0.546313,1.0038099,-2.493939,-0.220735,0.8350375
Gene487,-0.399921,-0.062688,-0.141294,0.5124363,1.1293301,0.1293919,-0.540339,-0.445272,-0.132468,0.9764148,-0.716000,-1.548458,0.9133509,0.4706126,-0.323579,-0.230885,-0.660611,-0.438924,0.0475831,1.5439677,1.6754765,0.4699463,0.7306485,0.5325324,-0.004666,1.1360698,0.4013546,-0.050459,0.0672887,0.3397538,0.0490256,0.2020410,-0.048316,-0.727299,0.0015003,0.1518025,0.6678368,0.3012025,0.2191132,0.0388543,-0.122669,0.2522861,0.5516082,0.3996856,0.0611785,0.2005900,0.0774273,-0.321211,0.7693277,-0.294606,-0.986616,0.3700468,-0.304175,-0.857482,0.4445122,0.3032250,-0.898715,-1.371393,0.5184584,-0.883643,-1.029741,0.9124498,1.0677996,-0.433590,0.9670334,0.1632205,-0.475114,0.7562146,0.7478608,-0.020832,0.8211948,-0.346568,-1.272349,1.4005955,-1.879615,0.1990322,-0.355151,0.4153776,-1.359503,-0.567741,-1.146773,-0.554432,0.3995354,-0.667535,-0.698294,0.4619944,0.2604924,0.1911392,-0.856583,-0.130774,1.5889304,1.1432839,0.3562933,-0.218307,-0.601070,0.5531357,-1.178551,-0.046457,-0.803934,0.7093493,0.5451836,-1.029234,-0.036384,0.5682375,-0.553401,-0.404489,-1.663925,-0.119157,0.0769821
Gene488,-0.402180,0.4288744,0.2662238,0.3279789,1.0954884,-1.193985,-0.050800,-0.644863,0.5578996,-1.017517,0.8441517,0.7381274,1.3098509,1.1268038,-0.236867,-0.595506,-0.352966,-0.154357,2.0207103,1.5088175,1.2664984,0.2376327,1.4497507,-0.382135,0.2960369,0.8763457,-0.616571,0.2165044,0.5302742,1.1137156,1.4746791,0.8479689,-0.828047,0.7929981,0.5655519,0.3674206,0.3303465,-0.304707,0.0933451,-0.082768,0.4020108,0.0591724,0.9080275,0.5508051,-1.912567,0.0514607,1.0275316,-0.525805,-0.146092,0.3380627,-1.172695,0.6986830,-0.915592,-0.270733,0.2113693,0.1384281,-0.255736,-0.446535,-1.063383,-0.698124,0.0985115,0.9731522,0.4639269,-1.186887,-0.864722,-0.311117,-1.553350,-1.305536,2.4785896,0.2937521,-0.093266,-0.061359,-0.784840,-0.697020,-0.395019,-0.152084,-0.261669,0.4232138,-0.849293,-1.429450,-1.202744,-0.197966,0.1050628,-0.823436,0.4411350,-0.531914,-0.399639,1.0449904,0.7809478,0.7082775,0.0129709,-1.276275,-0.318582,-0.557195,-0.270596,-0.848095,0.4661048,1.0637867,-1.286714,1.6266160,0.5204727,-0.651884,-0.947785,-1.158976,0.2051831,-1.290589,-0.005017,-0.071915,-0.720746
Gene489,-1.309141,0.4994551,-0.154968,-0.459249,-2.013415,-1.855495,-0.559470,-0.560173,0.2288845,-1.297872,0.4997714,0.7693835,0.5658758,0.7663295,0.9735178,1.3346617,2.1927143,1.6150220,-1.514955,0.8792100,-1.454089,-0.716291,0.2670220,-0.264300,0.7633515,-1.164117,0.1750291,-1.034432,-1.415087,-0.618931,-2.138918,-2.247917,0.7016944,-1.183066,0.1515848,-1.001886,-0.359426,-2.240646,-0.237188,-0.205904,-1.130411,-0.799448,-0.143262,-0.267752,-1.749979,2.3937312,-0.553388,0.8089245,0.8467390,0.0807338,0.0345129,-0.793836,-0.763439,-4.750697,-0.227459,-0.116590,-0.058258,0.2408178,1.4113145,-1.629990,-0.213250,-0.338401,1.5683097,-0.060512,0.4577576,0.4331208,3.1584544,0.9520511,0.0461638,0.0105930,1.4878420,-0.354124,-0.994508,1.8623641,-0.846512,0.4710315,2.0797627,0.8222390,-0.669705,2.0535660,-1.115971,1.8196537,1.7511308,1.9291409,-2.355251,0.5251485,0.4983036,1.1438184,1.1679881,0.5768544,-2.208284,0.8759184,0.1195968,-0.364090,0.2374750,1.4626778,1.2566940,-0.722517,0.9556742,-1.882463,-0.077353,-0.685565,0.8363062,1.8609523,-0.650479,-0.649853,1.7262751,0.9682971,-0.135135
Gene490,-0.160281,-1.471541,1.1500565,-0.920951,-1.680176,-0.525784,0.6552409,0.4745448,-0.256612,-0.412036,-0.641687,0.6166074,-0.199226,-1.370528,0.6081533,0.1528791,1.1254487,0.7113814,-2.376979,0.4916238,-1.241658,-0.498697,0.3385875,0.3971801,-0.686947,-0.231161,0.2174226,0.3815317,-0.291413,0.4985582,0.2726693,-0.455207,-0.750923,-0.281804,0.4776749,-0.133199,0.3650686,0.3086818,0.9722094,-0.331143,0.4822099,-0.264599,-0.904233,-0.696325,0.9890584,-0.995857,0.6363218,0.3240958,-0.423020,-1.365400,0.1104065,-0.717270,-0.625930,-0.148878,-0.905614,0.7247439,-0.441551,1.0182700,-1.028672,0.7517584,-0.860351,0.3351806,-0.869796,0.6591066,0.1531879,-0.420804,0.3612731,-0.225039,-2.092456,-0.043400,0.4011067,0.6733847,2.1075936,1.3773940,-0.107606,1.2692562,1.3047418,-0.475325,0.9260641,-0.838011,1.1337349,-0.066410,-0.417245,1.4007515,-0.115381,-0.970095,0.6054569,-0.046985,0.2975582,-0.094801,0.5859413,1.0247044,0.2410952,0.0732418,0.1553056,0.8023224,-1.552948,0.6146441,1.2880112,-0.333250,-1.182679,0.9139579,0.5773585,-0.394946,0.0645175,1.1601210,-1.242386,0.2310320,-0.205188
Gene491,0.1535042,0.0925477,0.5965486,0.6021071,-0.086447,-0.905892,1.3689995,1.2321295,0.4300099,0.5380544,-0.586561,1.9479418,0.9304412,0.8582506,0.8570511,-0.023277,-1.281041,0.5273156,-0.921328,-0.755906,-1.948171,0.5642444,-0.358501,0.8193765,-0.266034,-0.816433,0.1013413,0.2782969,-0.009169,0.1991764,-1.450654,-0.580292,0.3770291,-1.626657,0.4408082,-1.894954,1.1359926,-0.239056,1.0195009,-0.867580,-0.869006,-0.189439,0.2968635,-0.264951,0.4306063,-0.194872,-0.386211,-0.157628,-1.334581,0.2280121,-0.298674,-0.676994,0.3341013,-2.556494,1.3054220,0.3698747,0.9614225,-1.474925,-0.658225,1.2182280,-0.054875,0.8498146,0.3838731,0.4327407,1.3991949,0.3564521,1.2925322,0.2581227,0.4846344,0.1332329,2.3620428,-0.280841,-0.798240,-0.188637,0.7119173,-1.079385,-0.568484,-0.732531,0.6295315,-0.121476,0.6099154,-0.280650,0.2159555,-0.223419,0.0385694,0.7798126,0.5931302,0.5669384,-0.969905,-0.379097,-0.915458,0.3943445,-1.549607,0.1488096,0.4521397,-0.009275,-1.263219,0.0401036,0.0252353,-1.027336,-1.257974,0.9923077,0.5656960,-0.369393,0.6933273,-0.512242,1.2008180,-0.809442,0.2450706
Gene492,0.3370346,0.7190752,0.0393432,0.3698963,0.5589042,0.1112565,-0.133729,-0.316144,0.3698218,-0.378016,0.6211335,0.2764509,-0.204917,-0.976521,0.3283777,0.5999484,-0.008584,-1.040096,0.2776484,0.5249797,-0.124956,0.7910676,-0.115414,0.0468441,-0.053809,-0.374531,-0.005117,0.5240498,-0.268072,-0.455765,-0.612341,-0.469172,0.2004072,-0.781878,-0.308706,-0.736332,-0.055151,0.4334003,-0.021505,0.3941772,-0.369611,-0.313519,0.2094447,0.0286259,0.2560144,-0.343372,-0.570368,0.1942484,-0.004600,0.1835245,-0.123040,0.8835810,0.2134544,-0.664310,0.3533552,-0.088104,1.1979682,-0.469352,-0.346610,0.0764752,-1.094523,0.6493760,0.8006650,-0.525592,-0.660800,0.3401620,0.2840174,-0.122061,-0.467724,-0.329758,1.4901790,0.3816819,-1.359258,-0.225623,-0.133254,-1.090891,-0.469999,-0.334164,-0.065050,-0.295266,0.2417085,-1.037062,0.3316232,0.3928297,-0.513726,1.1921439,-0.185561,0.2185900,0.2976919,0.3201733,0.3619352,-0.411920,-1.261500,0.7953283,-0.631142,-0.496852,0.9858234,0.2496280,0.5435211,0.6450370,0.0923093,-0.490203,-0.855034,0.6817906,0.4287242,0.7515917,-0.113217,-0.389501,0.6963100
Gene493,-0.096459,0.3295644,-0.520895,-0.329794,-0.608325,0.1651894,0.6033307,0.8528237,0.8978133,0.1179187,-0.297243,0.8977878,-0.059924,-0.103588,0.6606659,-0.237174,-0.211857,1.3649656,-2.660018,-0.704723,-0.610196,-0.176250,-0.714200,0.3329755,-1.004688,-0.953576,-0.522813,-0.230564,-0.873337,-0.038360,-1.586775,-0.537407,-0.421065,-1.653414,-0.719658,-0.277963,0.4764432,-0.644430,0.4448742,-0.560749,0.0507830,-0.457960,-0.558329,-0.225912,0.1632860,0.1777825,-0.522301,0.1158506,-0.059302,-0.674989,-0.093009,0.5712445,-0.423987,-2.243974,-0.378156,-0.133056,0.0102405,1.3628370,0.9301413,0.9930511,0.1145033,0.3885388,-0.282815,1.0450310,1.7149448,0.5941708,1.2074624,0.8872482,-2.034436,-0.304605,0.4647643,0.8150631,-0.697364,0.7334028,0.0181397,0.6157633,0.6219233,-0.313645,0.2562434,-0.015253,0.0957385,0.6259322,0.9542470,2.1040396,-1.413522,0.0696055,0.3778165,1.4794868,0.1161820,0.3169346,-1.093295,0.4529144,0.1605118,0.2323198,1.0512096,1.6666544,-0.619212,-0.700663,0.9215822,-2.017514,-0.254080,-0.191090,0.7399745,0.2523188,-0.219154,0.1012834,0.2762246,0.0456178,0.2457293
Gene494,-0.652460,-0.330495,0.1033700,-0.851229,-0.343405,-0.778761,-1.266127,-0.142588,0.1196635,-0.185090,-0.308664,-0.318000,1.6837269,-0.579023,-0.033603,-0.282802,-0.074925,-0.576355,-1.269324,-0.481120,-0.773825,-0.237937,0.0380131,-0.312148,0.0660525,-0.331208,0.3966884,-0.501134,0.2769487,0.1770338,0.0009343,-0.189849,0.1234154,-0.068756,0.2109242,0.0457080,0.8264762,-0.640327,0.0073815,-0.207261,-0.456120,-0.152198,-1.025963,-0.734712,-1.131989,-0.036052,-0.381174,0.0757400,0.4902284,0.3078647,0.0588048,-0.899412,-0.664516,-2.816147,0.4228066,-0.399063,-0.147992,-0.401584,0.5357333,0.8562965,0.6534186,-0.136122,0.4436740,-1.209906,1.0685641,-0.067384,0.9905687,1.1947768,-0.314012,0.1045614,1.6833903,0.0212077,-0.866208,1.6051210,-1.024622,0.5726311,0.7360189,1.1649730,0.3559929,2.3766852,-1.351425,0.2512498,0.0823716,1.3984610,-0.842668,-0.420008,1.0908205,0.6301036,-0.348959,1.1649023,0.1178348,1.1514494,1.3494003,-0.241451,-0.399998,0.6495718,1.2303192,-0.984444,0.6162411,-1.011501,0.4707690,0.2171860,-0.454028,0.7530497,1.4419776,-0.338082,-0.990812,0.3803802,-0.806489
Gene495,0.3849912,0.0791430,1.5067786,0.2047067,1.2353914,0.3140440,1.4007819,0.5271611,0.9170050,1.4000553,0.3804422,1.6569954,-0.970065,0.2099244,0.5279184,0.2171758,-1.932851,-0.831319,1.8270270,0.5609377,-0.284874,2.8551192,-0.313698,1.1441256,0.5270557,0.9613623,-0.572141,0.8673152,-2.189995,-0.970009,-0.588323,-0.076256,-0.327361,0.5665536,1.1141736,-2.916018,0.4349012,1.2568140,1.6905384,-0.150690,-0.195454,0.7578161,-1.285302,1.8316258,1.5027208,0.0409670,1.1251361,-2.537094,0.6399657,0.4170548,-2.123438,0.0149618,0.7956910,-3.678752,1.4930545,0.0619944,0.3386790,-2.511298,-0.436580,0.2512145,0.1615030,0.9621803,1.8182200,-0.744524,-0.787560,1.2444868,-1.869050,-0.602272,-0.194584,0.5993339,1.7534950,-0.045780,-0.691054,-0.604074,1.0684864,-0.165411,-1.088641,-0.847059,-0.173211,-3.055642,1.2105590,-1.870160,2.0095463,-1.849978,0.0612793,2.4018981,0.6394966,1.2248769,-0.055816,-0.875850,-0.582262,-1.001673,-0.806342,0.7103353,1.9169981,-1.749424,-0.712459,-0.507525,-2.047657,-0.789983,-0.176929,1.6494511,-0.904197,-3.257130,0.0574120,-0.307313,-0.131257,-0.485817,0.3432978
Gene496,-1.148931,-1.120784,-0.383623,-1.554732,-0.115142,-0.625392,-0.589698,0.7336843,0.4398747,-0.459605,0.5956613,-0.884972,0.8826048,-0.918762,-0.295192,1.0436149,1.2942638,0.1183015,1.2569830,0.3145744,1.1014340,-0.881668,-0.838699,0.7434187,-2.039908,0.4086542,0.8699402,0.6128849,1.8512936,0.5879542,0.3930357,0.8085883,-0.813879,0.7389173,0.7892535,1.2603859,-0.530530,0.0882227,-0.230095,-0.415809,1.6156236,-0.679884,0.6568508,-0.083076,-0.022331,-2.132789,2.3740258,1.0271440,-0.451042,-0.586314,1.8315502,0.7345754,-0.179588,4.0324390,-1.278628,-0.464661,-1.210484,0.2592707,-0.999701,-0.829160,-1.071291,0.7177430,-0.866944,0.2350549,-0.210082,-1.150924,-2.236774,-0.308418,-2.097154,-0.285210,-2.242153,0.1644164,-1.786347,1.4675685,0.0391929,0.9513541,1.4937368,0.1672896,0.6150917,-0.862304,0.6542565,-0.210881,-1.466700,1.8228075,1.1798187,-1.393886,-0.515721,-0.927443,-0.431252,-1.500920,1.8409793,0.3029283,0.7212868,-0.142142,-1.600682,-0.091448,0.8847232,0.2179134,0.7851195,0.5369466,0.2823574,-0.957936,1.0202877,0.9767464,0.0044213,-0.410568,-0.324393,0.0217118,-0.712103
Gene497,2.2848364,0.8743737,0.8804912,0.7729949,-0.388423,0.8996674,1.3207184,0.5750135,0.2770762,1.9016889,0.8918651,1.3782952,-0.323657,-0.365400,1.4012585,0.8648952,-1.923079,-0.714632,-3.426947,-1.130399,-2.219351,1.3033327,-1.034116,-0.156688,-1.132736,-0.050678,0.7646006,-1.034283,-3.218688,-2.602679,-2.817407,-2.611188,1.5413950,-2.272005,-0.581632,-3.070357,-1.040499,1.0890350,1.9205842,-0.248536,0.3734613,0.6074941,-2.467137,-0.999894,1.7655403,0.5045856,-1.113485,-0.960195,0.9315478,-0.257490,-0.003352,-1.303039,1.3479164,-3.809120,0.8871981,0.7700799,1.0731860,-0.629430,0.5147221,1.7186808,-0.053733,-0.131147,1.2262693,0.7946080,0.4806765,1.0734470,0.0085118,0.1998802,-1.443100,1.2554905,1.3699856,-0.210081,-0.785135,-0.311057,2.2515848,-1.507090,-0.508539,-0.273750,0.2620113,0.4997604,1.6221039,-0.562141,0.6163447,-0.325873,-0.727928,1.6101743,1.2600261,0.3578445,-0.498792,0.3983038,-0.227689,1.8228103,-0.143948,1.2850762,0.9058972,0.0891192,-0.926952,-1.328430,-0.201540,-2.452676,-0.750684,3.0305469,0.1501706,0.2434309,0.3961180,0.2830856,0.7116600,0.6627625,0.9725951
Gene498,-0.626830,0.3617333,-0.901703,0.0260755,0.3865516,-0.340972,0.1498023,-0.111151,-1.298810,-1.568108,0.0218651,-0.723781,-0.080026,0.6156462,-0.256419,-1.549524,0.4287332,-0.559238,2.8817281,1.5388820,0.4916299,-1.528882,0.6914972,0.2428142,0.3916847,0.6745314,0.1257527,1.0164856,1.2546172,0.8494881,1.5901161,1.7204432,-1.360967,0.1378434,0.2896509,0.2265905,-0.529411,-0.549282,-0.454238,-0.141810,0.8091765,0.4374382,0.6957440,-0.046705,0.0980510,0.4785298,1.1382370,0.6595713,-0.246965,0.0045118,-0.189041,0.5531531,0.2065498,2.6157281,-0.506834,0.0505108,-0.788783,-0.399101,-1.058157,-0.345858,0.8357784,-0.839995,-0.478805,0.7219447,-1.436443,-1.079369,-0.600016,0.1937207,2.9554781,0.6813921,-0.592698,0.4970398,-0.390434,-0.062408,-0.285372,0.7618363,0.2600512,-1.077578,-0.389841,0.1003484,0.1676491,-1.569370,-1.793724,-0.719027,1.7824493,-1.801906,0.3106191,-0.886273,1.0758325,-0.318427,0.5514143,-0.518794,-0.435450,-0.752455,-0.873767,-0.127804,0.1785335,-0.894333,0.0458516,1.5018092,0.0357520,-0.228304,0.2980939,-0.398406,-0.803878,-0.217587,-0.072960,-0.844498,-0.164417
Gene499,0.8484586,-1.815061,0.5767794,-0.390706,1.1221263,0.9995556,0.4038645,-0.113335,-0.246559,2.1687451,-0.727866,0.3381157,-0.138465,0.1466965,-0.870299,1.4764703,1.2313846,0.3140321,-0.874481,-2.332224,0.1805920,0.2985479,-1.095920,-0.882432,-0.493157,-0.556580,0.2329675,-0.351305,0.3790764,0.3688204,-0.711493,0.6138437,-0.073337,0.6295197,0.8558473,1.4926011,-0.896630,2.3583638,0.5123836,-0.835357,-0.178906,-0.309473,-0.669521,-0.500347,0.8777694,-0.358366,-0.776338,0.5924988,0.0516943,0.2359827,0.7267769,-1.364660,-0.014687,-0.132049,0.0515905,-1.175657,-0.637640,1.6974481,0.0720590,0.0837490,0.7514016,-0.731111,-0.735055,0.7696235,-0.634786,0.1821698,1.0104738,0.3902624,-2.644187,-1.661227,-1.986429,-0.666280,0.1183637,0.2847075,-0.300718,1.0245993,-1.713536,0.2664988,0.8588676,1.4358973,-0.481924,1.0670446,-0.533475,0.4909649,0.5483409,-0.706336,0.4787212,-0.079627,-0.175562,0.2112524,1.1588716,-0.516249,0.1104441,-0.372079,0.3001949,0.9412287,-0.861705,-1.013441,-0.114652,-1.233320,0.1546491,0.6997878,0.9883139,-0.083616,-0.249272,0.9295240,-0.510539,0.0569516,0.3604869
Gene500,-0.544514,1.0847481,-0.939915,1.5045444,-0.072009,-0.906713,-0.139431,0.4424365,0.7541063,-0.128890,-0.281287,1.1859418,0.3522622,-0.188794,0.6906709,-0.069837,0.6190407,-0.123877,2.1703795,0.8624644,2.4560653,0.2809267,1.0916145,0.1501154,1.4235505,0.1799820,-0.809050,1.1463769,1.5632488,1.3219783,0.6091576,0.5129052,-1.363540,-0.189824,-0.091905,0.3492398,-0.720874,-0.766762,-0.504106,-0.569769,0.5987814,0.3427716,2.2630558,0.8175053,-1.538525,0.5605147,-0.285953,1.0426902,-0.224200,1.0566451,0.1489406,0.9739996,-0.388305,0.9581738,1.3924680,0.0342151,0.0279477,0.1223027,-0.290012,-1.088459,-0.321504,0.9503242,-0.096462,-1.102895,-0.297833,-0.932184,-0.331758,0.0601306,1.8419935,-1.488590,0.6149188,0.3580324,-3.262578,-1.133187,-0.720925,-0.823438,0.7464812,-0.644366,-0.230460,-1.932934,-1.306189,-0.416890,0.6449810,0.5041639,0.4948060,-1.037012,-2.500914,0.8461005,1.3599476,-1.056727,-0.559524,-1.117813,-2.691168,0.3032197,-0.760226,0.3259994,0.4979448,-0.142737,-0.186411,-0.178242,0.6983082,-0.519340,0.0127368,-1.222997,-0.184818,-0.955825,-0.828441,-0.043966,-0.096928
Gene501,-1.060166,0.7886084,-1.204351,0.3995560,0.7341659,-0.067781,-0.873160,-0.152411,1.7528251,-0.071937,1.8074025,-0.746753,1.4391011,-0.189456,-0.311716,-0.350244,-0.207525,-0.988590,1.0971572,1.7454655,1.0159766,-0.313383,-0.020068,-0.932426,0.6818785,-0.416150,0.5809415,-0.755422,-0.568922,-0.454478,0.0480177,-0.858995,-0.731911,1.3742993,-0.141116,0.4809950,-1.165342,-0.128355,-0.264114,1.2471865,-0.292556,0.5075832,-0.172745,0.8087546,-1.425864,1.0532633,-0.150078,0.6120530,2.2964961,1.0570948,0.0408838,0.2328142,-0.492162,-0.606947,-0.157619,1.1477634,-0.407582,-0.180286,0.6358668,-1.771834,-0.595576,-0.360880,0.7460608,0.0429110,-0.590466,0.7150876,0.6846177,-0.388620,-0.371949,-0.012034,-0.726007,-1.627398,-3.530112,0.8756007,-0.193326,0.7100196,0.2148805,1.0140810,-0.422996,-0.034673,-1.252970,1.1326852,0.9935390,0.1364510,-1.064202,1.1469067,-0.752200,1.3060628,-0.398838,0.1808356,-0.359164,0.1680852,1.5341280,0.0833128,0.6283806,-1.119193,0.9241419,0.5740261,0.0895148,0.4021119,1.7493178,-1.234175,-1.128867,-0.973587,-0.893646,-2.006366,-1.699515,1.3981508,-0.667829
Gene502,-0.165508,-0.513818,-0.810562,-0.111280,-1.606646,-0.490859,-0.655203,0.0559028,-0.701993,-1.939534,0.6964111,-0.219277,-0.665746,-0.713409,1.6644422,-0.516172,-0.277051,-0.740931,1.4749058,-0.674229,0.2464423,-1.307017,-0.448406,0.7909334,-1.251803,1.4508345,-0.109946,-0.047708,0.5239716,-0.894941,-0.621717,0.7838076,-0.445353,-0.273403,0.5834549,0.3557468,1.0844695,-1.358555,-0.239429,-0.480800,0.3174115,-0.049731,0.2411198,1.5593587,0.1907338,-0.039887,2.8014491,1.4773625,0.8743803,-1.295560,-0.447501,-0.064352,0.3784244,1.8563613,-0.661071,-0.034542,-1.125603,1.6802007,0.1957224,-0.696633,-0.302725,-0.323048,-1.105883,1.4610646,0.4890184,-1.142602,0.7400430,0.1705306,-0.117817,0.8764566,-0.815632,0.3582179,-2.012559,1.3476221,-0.360962,0.0949645,1.7476489,-0.807134,-0.163055,0.9379485,1.0640340,-1.046767,-0.740639,1.0210514,0.3748992,0.9885537,-0.915448,-1.219260,0.5827098,-1.090943,0.1366543,0.7551458,-0.534327,0.0891726,-0.304816,0.9120947,0.3056941,-1.512618,0.1459465,0.1371469,-0.826746,-1.160508,0.4847062,0.1121793,0.6494280,-0.036892,1.9176569,-0.413750,0.4658979
